id,name,country_id
1,London,1
2,San Antonio,2
3,Sydney,3
4,Paris,4
5,Budapest,5
6,Sapporo,7
7,Tokyo,7
8,Seoul,8
9,Rio de Janeiro,9
10,Vilnius,10
11,Vancouver,11
12,Amsterdam,12
13,Alexandria,13
14,Guangzhou,14
15,Hanoi,15
16,Jakarta,16
17,Kuala Lumpur,17
18,Manila,18
19,Bangkok,19
20,Vientiane ,20
21,Phnom Penh,21
22,Manchester,1
23,Denver,2
24,Chengdu,14
25,Frankfurt,22
26,Amstelveen,12
27,Dubai,23
28,Doha,24
29,Singapore,27
30,Istanbul,25
31,Dublin,26
32,Fort Worth,2
33,Atlanta,2
34,Chicago,2
35,Montreal,11
36,Chengdu,14
